ID,Training Length,Increasing
17,1,0
17,2,0
17,3,0
17,7,0
17,8,0
17,9,0
52,1,0
52,2,0
52,3,0
52,7,0
52,8,0
52,9,0
53,1,0
53,2,0.037037037
53,3,0
53,7,-0.037037037
53,8,-0.148148148
53,9,0
109,1,0
109,2,0
109,3,0
109,7,0
109,8,0
109,9,0
143,1,0
143,2,0
143,3,0
143,7,-0.004025765
143,8,0
143,9,0
144,1,-0.088888889
144,2,-0.116666667
144,3,-0.078571429
144,7,-0.044444444
144,8,-0.044444444
144,9,-0.1
145,1,0
145,2,0
145,3,0
145,7,0
145,8,0
145,9,0
151,1,0
151,2,0
151,3,0
151,7,0
151,8,0
151,9,0
697,1,0
697,2,0
697,3,0
697,7,0
697,8,0
697,9,0
763,1,-0.303030303
763,2,-0.294612795
763,3,-0.642135642
763,7,-1.077441077
763,8,-1.414141414
763,9,-0.909090909
936,1,-0.015649452
936,2,0
936,3,-0.021797451
936,7,-0.023474178
936,8,-0.062597809
936,9,0
